"Process Path","Work Pool","ExSD","Quantity"
"PPMultiMedium","PredictedCharge","2022-12-01 19:45","1337"
"PPNonCon","PredictedCharge","2022-12-01 19:45","14"
"PPMultiWrap","PredictedCharge","2022-12-01 19:45","9"
"PPNonConTeamLift","PredictedCharge","2022-12-01 14:30","1"
"PPSingleMedium","PredictedCharge","2022-12-01 14:30","2207"
"PPNonCon","PredictedCharge","2022-12-01 14:30","12"
"PPMultiMedium","PredictedCharge","2022-12-01 14:30","767"
"PPMultiWrap","PredictedCharge","2022-12-01 14:30","6"
"PPMultiWrap","PredictedCharge","2022-11-30 19:15","1"
"PPMultiMedium","PredictedCharge","2022-11-30 19:15","207"
"PPSingleMedium","PredictedCharge","2022-11-30 19:15","592"
"PPNonCon","PredictedCharge","2022-11-30 19:15","0"
"PPMultiWrap","PredictedCharge","2022-11-30 19:45","3"
"PPMultiMedium","PredictedCharge","2022-11-30 19:45","720"
"PPNonConTeamLift","PredictedCharge","2022-11-30 19:45","0"
"PPSingleMedium","PredictedCharge","2022-11-30 19:45","2411"
"PPNonCon","PredictedCharge","2022-11-30 19:45","7"
"PPMultiWrap","PredictedCharge","2022-11-30 14:30","0"
"PPSingleMedium","PredictedCharge","2022-11-30 14:30","87"
"PPMultiMedium","PredictedCharge","2022-11-30 14:30","30"
"PPNonCon","PredictedCharge","2022-12-01 06:45","0"
"PPMultiMedium","PredictedCharge","2022-12-01 06:45","0"
"PPSingleMedium","PredictedCharge","2022-12-01 06:45","0"
"PPNonConTeamLift","PredictedCharge","2022-12-01 23:00","1"
"PPSingleMedium","PredictedCharge","2022-12-01 23:00","1786"
"PPNonCon","PredictedCharge","2022-12-01 23:00","7"
"PPMultiMedium","PredictedCharge","2022-12-01 23:00","825"
"PPMultiWrap","PredictedCharge","2022-12-01 23:00","4"
"PPSingleMedium","PredictedCharge","2022-12-01 10:45","4914"
"PPNonCon","PredictedCharge","2022-12-01 10:45","35"
"PPMultiWrap","PredictedCharge","2022-12-01 10:45","10"
"PPMultiMedium","PredictedCharge","2022-12-01 10:45","1136"
"PPMultiWrap","PredictedCharge","2022-12-01 06:40","2"
